City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,de panne,51.0792,2.5917,24.03,57,93,4.93,BE,1687870122
168,varna,43.2167,27.9167,26.36,50,54,5.07,BG,1687870122
169,yuzhno-kurilsk,44.0306,145.8556,13.86,99,100,5.77,RU,1687870122
170,bonny,4.4522,7.1681,25.49,86,100,6.46,NG,1687870122
171,warman,52.3168,-106.5679,17.07,72,59,2.34,CA,1687870122
172,angaur state,6.906,134.13,28.95,72,94,3.1,PW,1687870122
173,zuni pueblo,35.0725,-108.8506,19.81,28,62,3.56,US,1687870123
174,ulan bator,47.9077,106.8832,10.93,70,100,2.94,MN,1687869947
175,saryozek,44.3583,77.9753,29.66,21,0,4.19,KZ,1687870123
176,livingston,55.9029,-3.5226,14.56,91,100,3.2,GB,1687870084
177,thunder bay,48.4001,-89.3168,14.72,76,76,1.36,CA,1687870009
178,suoyarvi,62.0833,32.35,24.52,40,65,2.94,RU,1687870123
179,howard springs,-12.497,131.047,25.46,72,51,0.68,AU,1687870123
180,spanish wells,26.323,-81.7957,30.54,57,18,2.32,US,1687870123
181,mount isa,-20.7333,139.5,22.67,38,9,2.25,AU,1687870123
182,alice springs,-23.7,133.8833,12.9,53,100,25.48,AU,1687870123
183,porto novo,6.4965,2.6036,28.16,65,96,5.22,BJ,1687870123
184,flying fish cove,-10.4217,105.6791,25.45,70,90,9.76,CX,1687870123
185,karukh,34.4811,62.5863,30.12,14,0,9.6,AF,1687870124
186,kodiak,57.79,-152.4072,8.05,98,100,3.68,US,1687870124
187,rio grande,-32.035,-52.0986,14.97,96,100,3.12,BR,1687870124
188,krasnokholmskiy,55.9873,55.0466,20.88,46,56,3.19,RU,1687870124
189,caleta de carquin,-11.0925,-77.6267,20.26,78,46,2.65,PE,1687870124
190,bermeo,43.4209,-2.7215,26.5,65,96,3.14,ES,1687870124
191,iskateley,67.6803,53.1512,10.12,86,100,1.83,RU,1687870124
192,takoradi,4.8845,-1.7554,26.7,65,65,5.18,GH,1687870124
193,klaksvik,62.2266,-6.589,11.1,94,32,9.11,FO,1687870124
194,tadine,-21.55,167.8833,21.24,65,31,7.83,NC,1687870124
195,bengkulu,-3.8004,102.2655,26.27,83,100,3.51,ID,1687870124
196,el calafate,-50.3408,-72.2768,0.54,94,100,0.06,AR,1687870124
197,afaahiti,-17.75,-149.2833,22.81,84,53,8.31,PF,1687870125
198,fuling,29.7022,107.3919,26.75,75,89,2.42,CN,1687870125
199,nishinoomote,30.7333,131.0,25.87,88,98,3.25,JP,1687870125
200,buta,2.7858,24.73,26.29,72,96,0.7,CD,1687870125
